Date,^SP500-255040,^SP500-30,^SP500-35,^SP500-60
2021-02-10,25.262017865729035,5.519978320424546,13.700710180692166,0.9066348578974592
2021-02-11,24.48793097681785,5.064908888616415,13.884669313463283,0.7927826969938767
2021-02-12,24.316324244389143,5.2301024595835965,14.741484096968826,0.7337460983564581
2021-02-16,23.875147403592933,5.0462084475200175,13.569662370390322,-0.3415693517241025
2021-02-17,25.33935642665279,5.457637175487662,13.972875359176617,-0.2572322728858878
2021-02-18,26.234234243953992,5.320494266165099,13.231973286754961,-0.2825327530866839
2021-02-19,25.622178922697756,4.030116270896156,11.934148782947297,-0.046386358537020556
2021-02-22,24.579259168152845,4.109588389594299,11.598982215848253,0.49337866743555114
2021-02-23,22.466177640974294,4.08153772794968,11.426774318648803,0.8096475389588464
2021-02-24,20.532803525530706,4.053487066305039,12.159268002616042,1.3662838414030487
2021-02-25,17.569033791250988,2.8846619381627914,11.046243470424933,-0.24458203278548973
2021-02-26,17.728853630704688,1.2031156114345132,10.149109438867221,-2.057858183087069
2021-03-01,19.660025008712047,2.188046727513182,11.496502418026932,-1.9060488673756204
2021-03-02,19.137823393323306,2.008823069762067,11.220973884160701,-2.606052412788784
2021-03-03,16.912051617061017,1.4493412565117492,9.744214772390048,-3.744625497877996
2021-03-04,14.541186874489998,0.9085693962810781,8.283431598682789,-4.486800799963609
2021-03-05,16.76990762168731,3.0810260815984147,10.473355355107783,-3.3861848696822627
2021-03-08,20.101201849508254,3.409853268120866,10.159189250880264,-2.87593492577507
2021-03-09,21.700191431369365,3.4082933127089543,10.837920519400512,-1.8427912323669582
2021-03-10,22.68418571180426,4.739201612917809,11.078164584154937,-0.8728987394608367
2021-03-11,23.643140711586685,4.550627734618473,11.772020697760887,0.6156729010816209
2021-03-12,25.14638763647532,5.297113958832966,11.925750648625133,2.1295450218248746
2021-03-15,27.203492660478858,5.761533611189296,12.656562654901492,3.331362872909427
2021-03-16,27.316182909562613,5.8316650212624666,12.613720890312985,3.3102834290798633
2021-03-17,27.018624549607615,5.77555418604998,12.155074062521077,3.1458238732680055
2021-03-18,27.583541289728842,5.275303118835972,11.94170607842402,2.3867772947107735
2021-03-19,29.629605654256164,5.537118806109054,12.344919067210292,1.0921802920455193
2021-03-22,29.882965413246133,6.760485302128649,13.361339419365903,2.218096702527683
2021-03-23,28.680225819247497,7.185944116880227,12.192029955191487,2.5723227288588335
2021-03-24,28.864356687384984,6.705943934251302,12.12651630417283,2.0283366665150293
2021-03-25,31.247745565664765,7.742296507383495,12.47595662337988,2.82955500174471
2021-03-26,34.408170303790754,9.651377550015837,14.700324010071197,5.36813517766026
2021-03-29,33.259195484765854,10.78592170678907,15.15561773661358,5.1825897435122
2021-03-30,34.44131026374948,9.52826472747721,14.112311049668346,4.668131632247086
2021-03-31,34.136388467222,9.00619330834298,14.271075779472998,4.157881688339904
2021-04-01,34.649014917836986,8.742817665657988,14.024115258087289,5.802477246458393
2021-04-05,37.24378567310802,10.139167997781051,14.77592772723515,6.44345062774081
2021-04-06,37.16865884038552,10.50540557841957,14.365157442972155,6.633210663753464
2021-04-07,36.8497474134468,10.293451392788121,14.088798324392759,6.789241015836156
2021-04-08,37.80206722862545,10.376052934233314,14.218995041716887,6.186218354854933
2021-04-09,39.954186657632754,10.324621965256565,15.549591752232272,6.338027670566393
2021-04-12,40.70175978042394,10.821762633569998,15.606707268928766,6.919964453211391
2021-04-13,39.98512388015525,10.277870862515526,16.119116512167665,7.5988885547950025
2021-04-14,40.242169852813994,10.189039011345912,15.979680821675913,6.852492216338146
2021-04-15,41.46922047549639,11.07578805570677,18.001600875128652,8.939865481490594
2021-04-16,43.55211101365122,11.794223618276622,18.8827794768875,9.125410915638653
2021-04-19,42.43037821271503,11.264361934006084,18.87017714833812,9.445900823533204
2021-04-20,41.0773849532714,11.903315865954545,19.377551612636612,10.673025589325214
2021-04-21,41.993624828321344,12.42071693077631,20.735865242654803,11.120017898223743
2021-04-22,41.11274563219642,11.466956387166105,20.22009264403415,10.70253423688392
2021-04-23,42.03045100194884,11.2892926848269,20.991223898362676,11.34772222003091
2021-04-26,40.49406411710148,10.00202508845851,20.564498184300795,11.571218374480186
2021-04-27,41.12084631150268,9.961513807365098,19.952962244490102,11.54591789427939
2021-04-28,40.45650070074023,10.005144999282333,19.534634664750385,11.166397822254082
2021-04-29,42.61893253725504,11.175530082836493,19.071783642731276,11.925450835317996
2021-04-30,41.78076846586261,11.223841140989443,18.687899693257883,12.617018742495345
2021-05-03,44.11260429736992,12.215002566792489,20.07477108162432,12.077253716522796
2021-05-04,44.47717981997612,11.613449517036845,20.12096594746233,11.39411501307459
2021-05-05,44.025690571672406,11.498126959634547,20.393131125946784,9.703126661912421
2021-05-06,46.01430394755723,12.975518877790915,20.483018849350998,10.289284480928673
2021-05-07,47.614768014885826,12.981749187515291,21.349072606024144,11.6218322038951
2021-05-10,48.28868879042203,13.851357746191638,21.468358926622045,12.00978147964955
2021-05-11,44.551569409964856,12.860196320388596,20.28309403264874,10.761577270027999
2021-05-12,38.917902087691616,11.370334270860205,19.075146998113034,8.138653580767574
2021-05-13,42.17996742466008,12.92408790881414,20.205808637793908,9.41215827058992
2021-05-14,42.750035873152534,13.413438311991266,20.666137143276675,10.516988802735838
2021-05-17,41.36463090571889,13.243574386711622,20.46537148772898,10.512780635377927
2021-05-18,39.59256010596155,12.944348305322473,20.523338097403187,10.69832606952601
2021-05-19,37.311540078492975,12.573440370371468,20.3502893613583,10.234462484155827
2021-05-20,37.826378257309216,13.530320824805496,21.60275983817339,11.71460492096914
2021-05-21,37.535446091192966,13.496039853436482,21.562440590121202,11.520617414078593
2021-05-24,36.76945988158802,13.848247347291064,21.632158435367078,12.697141219468989
2021-05-25,37.480206830751726,13.923049111676722,21.264229915692567,13.042931607564334
2021-05-26,38.22483098260789,13.722005102005387,20.582976130636,13.300157445943551
2021-05-27,38.498087304644166,13.055000508412306,20.388096347006403,13.118833048166723
2021-05-28,38.842038012235356,13.058120419236108,20.747616478226472,13.848364544658587
2021-06-01,37.79617827752047,12.723053411066033,18.762662571576417,15.7712782539992
